author,image,name,price
Giles Andreae,"https://images-na.ssl-images-amazon.com/images/I/91r5UtdC7tL._AC_UL200_SR200,200_.jpg",Giraffes Can't Dance (Board Book),$6.28
Christopher Hart,"https://images-na.ssl-images-amazon.com/images/I/61OmpoczgeL._AC_UL200_SR200,200_.jpg",The Master Guide to Drawing Anime: How to Draw Original Characters from Simple Templates (Volume 1),$17.95
Silly Bear,"https://images-na.ssl-images-amazon.com/images/I/71x-Q%2Bayv4L._AC_UL200_SR200,200_.jpg",Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),$4.99
Thomas Kinkade,"https://images-na.ssl-images-amazon.com/images/I/91o4KDHJY9L._AC_UL200_SR200,200_.jpg",Disney Dreams Collection Thomas Kinkade Studios Coloring Book,$6.77
Pretty Simple Press,"https://images-na.ssl-images-amazon.com/images/I/51VkB7O0v4L._AC_UL200_SR200,200_.jpg",Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,$6.99
Rob Stevens,"https://images-na.ssl-images-amazon.com/images/I/61S8ZmrKxTL._AC_UL200_SR200,200_.jpg","Jokes for Kids: The Best Jokes, Riddles, Tongue Twisters, Knock-Knock jokes, and One liners for kids: Kids Joke books ages 7-9 8-12",$5.85
Matt Haig,"https://images-na.ssl-images-amazon.com/images/I/81PJSYXThJL._AC_UL200_SR200,200_.jpg",The Midnight Library: A Novel,$15.60
Don Miguel Ruiz,"https://images-na.ssl-images-amazon.com/images/I/91p5b0UgbKL._AC_UL200_SR200,200_.jpg",The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),$6.48
Jane Bexley,"https://images-na.ssl-images-amazon.com/images/I/71ikPTekl6L._AC_UL200_SR200,200_.jpg",Freddie The Farting Snowman: A Funny Read Aloud Picture Book For Kids And Adults About Snowmen Farts and Toots (Toots and Farts),$11.88
Joseph Stevenson,"https://images-na.ssl-images-amazon.com/images/I/71NwJYHd0wL._AC_UL200_SR200,200_.jpg","How to Draw Anime (Includes Anime, Manga and Chibi) Part 1 Drawing Anime Faces",$16.95
James Patterson,"https://images-na.ssl-images-amazon.com/images/I/51OjUs0vkGL._AC_UL200_SR200,200_.jpg",The Last Days of John Lennon,$18.00
Sharon Jones,"https://images-na.ssl-images-amazon.com/images/I/71A0CJuGSeL._AC_UL200_SR200,200_.jpg",Burn After Writing,$8.24
David Allen Sibley,"https://images-na.ssl-images-amazon.com/images/I/81%2B8%2BW-0r7L._AC_UL200_SR200,200_.jpg","What It's Like to Be a Bird: From Flying to Nesting, Eating to Singing--What Birds Are Doing, and Why (Sibley Guides)",$31.50
