Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester
Mixed Signal Design,MSD,ECE612,ECE315/ECE515,None,Winter
Stochastic Estimation and Control,SEC,ECE672,ECE501,None,Winter
Microeconomics,ME,ECO101,None,ECO301,Winter
Macroeconomics,MA,ECO201,None,None,Monsoon
Money and Banking,MB,ECO223,None,None,Winter
Introduction to Economic Analysis,IEA,ECO301,None,None,Monsoon/Winter
Game Theory,GMT,ECO311,None,ECO304,Monsoon
Industrial Organization,IO,ECO312,ECO101 or ECO311,None,Winter
Market Design,MD,ECO313,ECO311,None,Winter
Behavioural Economics,BEco,ECO314,MTH201,None,Monsoon
Econometrics I,ECO,ECO321,MTH201,ECO302,Monsoon
Econometrics II,Econ-2,ECO322/ECO522,ECO321,None,Monsoon
Spatial Statistics and Spatial Econometrics,SSSE,ECO324/ECO524,ECO321,None,Winter
Foundations of Finance,FF,ECO331,None,FIN401,Monsoon
Valuation and Portfolio Management,VPM,ECO332,None,None,Winter
Derivatives and Risk Management,DRM,ECO333,ECO331 or ECO332,None,Monsoon
Decision Theory,DT,ECO503,None,None,Monsoon
Research Methods,RM,ENG599s,None,None,Winter
Entrepreneurial Communication,EComm,ENT411,None,None,Monsoon
Entrepreneurial Khichadi,EK,ENT412,None,None,Monsoon
Entrepreneurial Finance,EF,ENT413,None,None,Winter
Relevance of Intellectual Property for Startups,RIPS,ENT414,None,None,Winter
New Venture Planning,NVP,ENT415,None,None,Winter
"Creativity, Innovation, and Inventive Problem Solving",CIIPS,ENT416/ENT516,None,None,Winter
Healthcare Innovation and Entrepreneurship Essentials,HIEE,ENT421/BIO571,None,None,Monsoon
Environmental Sciences,EVS,ESC205,None,ESC207A,Monsoon
"Ecology, Evolution, and Environment",EEE,ESC207A,None,ESC205,Monsoon
Effective Supply Chain for E Commerce,ESCM,MGT310,None,None,Monsoon
Emerging Issues in IT Management,EIITM,MGT311,None,None,Winter
Linear Algebra,M-I,MTH100,None,None,Monsoon
Introduction to Mathematical Logic,IML,MTH200,None,None,Winter
Probability and Statistics,P&S,MTH201,None,None,Winter
Multivariate Calculus,M-III,MTH203,None,MTH240,Monsoon
Differential Equations,M-IV,MTH204,MTH203,None,Winter
Discrete Structures,DS,MTH210,None,None,Monsoon
Number Theory,NT,MTH211,None,None,Monsoon
Abstract Algebra I,AA-I,MTH212,None,MTH302,Winter
Real Analysis I,RA-I,MTH240,None,MTH203,Monsoon
Numerical Methods,NM,MTH270,"MTH100, MTH204",None,Monsoon/Winter
Algebra,ALG,MTH302,None,MTH212,Monsoon
Graph Theory,GT,MTH310,None,None,Winter
Combinatorics and its Applications,CIA,MTH311,MTH100,None,Winter
Real Analysis-II,RA-II,MTH340,MTH240,None,Monsoon
Introduction to Dynamical Systems,IDS,MTH343/MTH543,"MTH100, MTH203, MTH240",None,Winter
Stochastic Processes and Applications,SPA,MTH371,MTH201,None,Monsoon
Statistical Inference,SI,MTH372,MTH201,"ECE452/ECE552, ECO321,  CSE609",Winter
Scientific Computing,SC,MTH373,MTH100,MTH270,Monsoon
Linear Optimization,LO,MTH374/MTH574,MTH100,MTH305/MTH505,Winter
Fluid Mechainics,FM,MTH375/MTH575,MTH204,None,Monsoon
Advanced Linear Algebra,ALA,MTH510,MTH100,None,Winter
Algebraic Number Theory,ANT,MTH512,None,None,Monsoon
Abstract Algebra II,AA-II,MTH513,"MTH100, MTH212",None,Winter
Coding Theory,COT,MTH514,"MTH100, MTH212, MTH513",None,Winter
Analytic Number Theory,ANNT,MTH516,MTH341,None,Winter
Combinatorial Optimization,CMO,MTH517,MTH374/MTH574,None,Winter
Topics in Number Theory,TNT,MTH518,MTH211,None,Monsoon
Complex Analysis,CmpA,MTH541,MTH240,None,Monsoon
Introduction to Functional Analysis,IFA,MTH542,MTH100,None,Winter
Calculus in R^N,CRN,MTH544,"MTH100, MTH203 or MTH240",None,Winter
Finite and Spectral Element Methods,FSEM,MTH545,"MTH100, MTH203 or MTH240, MTH204",None,Monsoon
Introduction to PDE,IPDE,MTH550,MTH204,None,Winter
Point Set Toplogy,PST,MTH562,None,None,Monsoon
Point Set Toplogy,PST-2,MTH562A,None,MTH562,Monsoon
Introduction to Riemannian Geometry with Some Applications,IRG,MTH564A,"MTH100, MTH203",None,Monsoon
Numerical Solutions Differential Equations,NSDE,MTH570,"MTH100, MTH203, MTH240",None,Winter
Integral Transforms and their Applications,ITA,MTH571,MTH204,None,Winter
Categorical Data Analysis,CDA,MTH576,MTH201,None,Monsoon
Numerical Partial Differential Equations,NPDE,MTH598,"MTH100, MTH203, MTH240",MTH570,Winter
Variational Calculus and their Applications,VCA,MTH599,MTH203,None,Winter
Measure and Probability Theory,MPT,MTH5MPT,MTH240 or MTH203,None,Winter
Introduction to Psychology,Psy,PSY201,SSH101,None,Monsoon
Positive Psychology,Ppsy,PSY202,None,None,Winter
Cognitive Psychology,CP,PSY301,None,PSY201,Winter
Social Psychology,SP,PSY302,None,None,Winter
Attention and Perception,ATP,PSY305,None,None,Winter
Learning and Memory,LM,PSY306,None,None,Winter
Neuroscience of Decision Making,NDM,PSY307,None,None,Monsoon
Cognition of Motor Movement,CMM,PSY308,"CSE101, PSY201",None,Monsoon
Introduction to Sociology and Anthropology,ISA,SOC101,SSH101,"HSS205, HSS215",Winter
Contemporary India: Sociological Perspective,CISP,SOC202,None,None,Monsoon
Sociology of New Media,SNM,SOC204,None,None,Monsoon
Anthropology and Social Media,ASM,SOC205,None,None,Winter
Business Anthropology,BA,SOC206,None,None,Monsoon
Information Technology And Society,ITS,SOC207,None,"HSS212, SSH101",Winter
Organizations An Anthropological Perspective,OAP,SOC208,None,None,Winter
Consumer Culture and Society,CCS,SOC209,None,None,Monsoon
Sociological Theory,ST1,SOC210,None,None,Winter
"Science, Technology and Society",STS,SOC211,None,None,Winter
Key Concepts in Economic Sociology,KCES,SOC212,None,None,Monsoon
Urban Sociology,US,SOC302,None,None,Winter
Digital Social Research,DSR,SOC307,None,None,Monsoon
Gender and Media,GM,SOC308,None,None,Monsoon
Advance Ethnographic Research Methods,AERM,SOC311/SOC501,SSH201,None,Monsoon
Advanced Sociological Theory,AST,SOC312/SOC502,None,None,Winter
Sociology of India,SoI,SOC313/SOC503,None,None,Winter
Critical Thinking and Readings in Social Science ,CTRSS,SSH101,None,None,Winter
Introduction to Philosophy,IPHI,SSH121,None,None,Monsoon
Critical Thinking,CT,SSH124,None,SSH101,Winter
Research Methods in Social Science and Design,RMSSD,SSH201,SSH101,None,Monsoon
Theatre Appreciation,TA,SSH211,None,HSS211,Monsoon
Introduction To The Study Of Literature,Lit,SSH214,None,None,Winter
Nation and her Narratives,NN,SSH215,None,None,Winter
Introduction to Indian Mythology,IIM,SSH216,None,HSS219,Monsoon
Indian Poetry Through the Ages,IPA,SSH217,None,None,Winter
Social and Political Philosophy,SPP,SSH221,None,None,Monsoon
Theory and Practice of Engineering Ethics,TPEE,SSH222,None,None,Winter
Perspectives of Knowledge,PoK,SSH223,None,None,Monsoon
"Computer, Information Ethics and Society",CIES,SSH224,None,None,Winter
Democracy in India: Principles and Practices,DIPP,SSH261,None,None,Winter
Theories of Ethics,TE,SSH300,None,None,Monsoon
Advanced Writing,AW,SSH311,None,None,Winter
Applied Ethics,AE,SSH321,None,None,Winter
New Media and Politics,NMP,SSH323,None,None,Monsoon
Philosophy of Mind,PoM,SSH324,SSH121,None,Winter
Comparative Politics in Digital Era,CPDE,SSH361,None,None,Winter
Urban Space and Political Power,USPP,SSH362/SSH562,None,None,Monsoon/Winter
Philosophy of Technology,PT,SSH3PT,None,None,Winter
